,nodeId,ls,lc,le,ltx,number of neighbors,QOS,arm,jammed
0,8.0,4.0,0.0,0.0,0.0,7.0,7.000,False,False
1,8.0,1.0,3.0,0.0,1.0,7.0,0.333,True,False
2,8.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
3,8.0,5.0,2.0,0.0,1.0,7.0,2.500,True,True
4,8.0,6.0,0.0,0.0,0.0,7.0,7.000,True,True
5,8.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
6,8.0,2.0,2.0,0.0,1.0,7.0,1.000,False,True
7,8.0,1.0,4.0,0.0,1.0,7.0,0.250,True,True
8,8.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
9,8.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
10,8.0,5.0,0.0,0.0,0.0,7.0,7.000,True,True
11,8.0,1.0,3.0,0.0,1.0,7.0,0.333,False,False
12,8.0,1.0,5.0,0.0,1.0,7.0,0.200,True,True
13,8.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
14,8.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
15,8.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
16,8.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
17,8.0,4.0,3.0,0.0,0.0,7.0,1.333,False,True
18,8.0,3.0,1.0,0.0,1.0,7.0,3.000,False,True
19,8.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
20,8.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
21,8.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
22,8.0,3.0,4.0,0.0,0.0,7.0,0.750,False,True
23,8.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
24,8.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
25,8.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
26,8.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
27,8.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
28,8.0,5.0,2.0,0.0,0.0,7.0,2.500,True,True
29,8.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
30,8.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
31,8.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
32,8.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
33,8.0,3.0,2.0,0.0,0.0,7.0,1.500,True,True
34,8.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
35,8.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
36,8.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
37,8.0,1.0,3.0,0.0,1.0,7.0,0.333,True,True
38,8.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
39,8.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
40,8.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
41,8.0,6.0,0.0,0.0,0.0,7.0,7.000,True,True
42,8.0,3.0,1.0,0.0,1.0,7.0,3.000,True,True
43,8.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
44,8.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
45,8.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
46,8.0,3.0,2.0,0.0,0.0,7.0,1.500,True,True
47,8.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
48,8.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
