Observation from node 1 : 
nodeid 	 ls 	 lc 	 le 	 ltx 	 minRxPower(snr) 	 maxRxPower(snr) 	 channelNumber 	 cwid 	 label(jammed or not)	 number of neighbors 
1	8	0	0	0	0	47967.7	0	1	0	8
1	0	0	0	0	0	0	172	2	0	8
1	4	0	0	0	0	5995.96	178	3	0	8
1	0	0	0	0	0	0	172	4	0	8
1	2	3	0	0	0	5995.96	178	5	0	8
1	0	0	0	0	0	0	172	6	0	8
1	2	5	0	0	0	93.6868	178	7	0	8
1	0	0	0	0	0	0	172	8	0	8
1	6	2	0	0	0	47967.7	178	9	0	8
1	0	0	0	0	0	0	172	10	0	8
1	6	0	0	0	0	47967.7	178	11	0	8
1	0	0	0	0	0	0	172	12	0	8
1	5	2	0	0	0	47967.7	178	13	0	8
1	0	0	0	0	0	0	172	14	0	8
1	2	3	0	0	0	5995.96	178	15	0	8
1	0	0	0	0	0	0	172	16	0	8
1	2	4	0	0	0	93.6868	178	17	0	8
1	0	0	0	0	0	0	172	18	0	8
1	3	5	0	0	0	222.072	178	19	0	8
1	0	0	0	0	0	0	172	20	0	8
1	4	4	0	0	0	47967.7	178	21	0	8
1	0	0	0	0	0	0	172	22	0	8
1	5	0	0	0	0	47967.7	178	23	0	8
1	0	0	0	0	0	0	172	24	0	8
1	2	3	0	0	0	1776.58	178	25	0	8
1	0	0	0	0	0	0	172	26	0	8
1	2	5	0	0	0	93.6868	178	27	0	8
1	0	0	0	0	0	0	172	28	0	8
1	5	3	0	0	0	5995.96	178	29	0	8
1	0	0	0	0	0	0	172	30	0	8
1	5	1	0	0	0	47967.7	178	31	0	8
1	0	0	0	0	0	0	172	32	0	8
1	6	1	0	0	0	47967.7	178	33	0	8
1	0	0	0	0	0	0	172	34	0	8
1	4	3	0	0	0	47967.7	178	35	0	8
1	0	0	0	0	0	0	172	36	0	8
1	5	2	0	0	0	47967.7	178	37	0	8
1	0	0	0	0	0	0	172	38	0	8
1	4	1	0	0	0	749.495	178	39	0	8
1	0	0	0	0	0	0	172	40	0	8
1	4	2	0	0	0	5995.96	178	41	0	8
1	0	0	0	0	0	0	172	42	0	8
1	3	4	0	0	0	139.847	178	43	0	8
1	0	0	0	0	0	0	172	44	0	8
1	3	4	0	0	0	1776.58	178	45	0	8
1	0	0	0	0	0	0	172	46	0	8
1	4	3	0	0	0	47967.7	178	47	0	8
1	0	0	0	0	0	0	172	48	0	8
1	3	2	1	0	0	5995.96	178	49	0	8
1	0	0	0	0	0	0	172	50	0	8
1	3	3	0	0	0	5995.96	178	51	0	8
1	0	0	0	0	0	0	172	52	0	8
1	4	4	0	0	0	5995.96	178	53	0	8
1	0	0	0	0	0	0	172	54	0	8
1	3	3	0	0	0	749.495	178	55	0	8
1	0	0	0	0	0	0	172	56	0	8
1	4	2	1	0	0	47967.7	178	57	0	8
1	0	0	0	0	0	0	172	58	0	8
1	4	3	0	0	0	47967.7	178	59	0	8
1	0	0	0	0	0	0	172	60	0	8
1	4	3	0	0	0	5995.96	178	61	0	8
1	0	0	0	0	0	0	172	62	0	8
1	4	2	0	0	0	5995.96	178	63	0	8
1	0	0	0	0	0	0	172	64	0	8
1	4	3	0	0	0	47967.7	178	65	0	8
1	0	0	0	0	0	0	172	66	0	8
1	4	1	1	0	0	47967.7	178	67	0	8
1	0	0	0	0	0	0	172	68	0	8
1	2	2	1	0	0	383.741	178	69	0	8
1	0	0	0	0	0	0	172	70	0	8
1	4	4	0	0	0	383.741	178	71	0	8
1	0	0	0	0	0	0	172	72	0	8
1	4	2	0	0	0	5995.96	178	73	0	8
1	0	0	0	0	0	0	172	74	0	8
1	4	3	0	0	0	47967.7	178	75	0	8
1	0	0	0	0	0	0	172	76	0	8
1	3	2	0	0	0	749.495	178	77	0	8
1	0	0	0	0	0	0	172	78	0	8
1	3	4	0	0	0	222.072	178	79	0	8
1	0	0	0	0	0	0	172	80	0	8
1	4	3	0	0	0	5995.96	178	81	0	8
1	0	0	0	0	0	0	172	82	0	8
1	5	3	0	0	0	5995.96	178	83	0	8
1	0	0	0	0	0	0	172	84	0	8
1	6	0	0	0	0	47967.7	178	85	0	8
1	0	0	0	0	0	0	172	86	0	8
1	4	1	0	0	0	47967.7	178	87	0	8
1	0	0	0	0	0	0	172	88	0	8
1	2	5	0	0	0	47967.7	178	89	0	8
1	0	0	0	0	0	0	172	90	0	8
1	1	5	0	0	0	5995.96	178	91	0	8
1	0	0	0	0	0	0	172	92	0	8
1	5	2	0	0	0	1776.58	178	93	0	8
1	0	0	0	0	0	0	172	94	0	8
1	3	2	0	0	0	1776.58	178	95	0	8
1	0	0	0	0	0	0	172	96	0	8
1	4	3	0	0	0	47967.7	178	97	0	8
1	0	0	0	0	0	0	172	98	0	8
1	2	5	0	0	0	47967.7	178	99	0	8
1	0	0	0	0	0	0	172	100	0	8
1	4	2	0	0	0	1776.58	178	101	0	8
1	0	0	0	0	0	0	172	102	0	8
1	4	3	0	0	0	5995.96	178	103	0	8
1	0	0	0	0	0	0	172	104	0	8
1	3	3	0	0	0	47967.7	178	105	0	8
1	0	0	0	0	0	0	172	106	0	8
1	3	4	0	0	0	47967.7	178	107	0	8
1	0	0	0	0	0	0	172	108	0	8
1	3	4	0	0	0	383.741	178	109	0	8
1	0	0	0	0	0	0	172	110	0	8
1	5	2	0	0	0	749.495	178	111	0	8
1	0	0	0	0	0	0	172	112	0	8
1	5	1	0	0	0	5995.96	178	113	0	8
1	0	0	0	0	0	0	172	114	0	8
1	5	3	0	0	0	5995.96	178	115	0	8
1	0	0	0	0	0	0	172	116	0	8
1	3	1	1	0	0	47967.7	178	117	0	8
1	0	0	0	0	0	0	172	118	0	8
1	5	2	0	0	0	47967.7	178	119	0	8
1	0	0	0	0	0	0	172	120	0	8
1	2	3	0	0	0	5995.96	178	121	0	8
1	0	0	0	0	0	0	172	122	0	8
1	3	4	0	0	0	5995.96	178	123	0	8
1	0	0	0	0	0	0	172	124	0	8
1	5	3	0	0	0	5995.96	178	125	0	8
1	0	0	0	0	0	0	172	126	0	8
1	7	0	0	0	0	47967.7	178	127	0	8
