State Observation from node 8 at different cw 
TimeStart 	 Duration 	 state 	 channel 	 cw 
+0ns	+5.99002e+06ns	IDLE	0	1
+5.99002e+06ns	+36000ns	CCA_BUSY	0	1
+6.02602e+06ns	+0ns	CCA_BUSY	0	1
+6.02602e+06ns	+728000ns	RX	0	1
+6.75402e+06ns	+1.84313e+06ns	IDLE	0	1
+8.59715e+06ns	+36000ns	CCA_BUSY	0	1
+8.63315e+06ns	+0ns	CCA_BUSY	0	1
+8.63315e+06ns	+728000ns	RX	0	1
+9.36115e+06ns	+1.2009e+07ns	IDLE	0	1
+2.13701e+07ns	+36000ns	CCA_BUSY	0	1
+2.14061e+07ns	+0ns	CCA_BUSY	0	1
+2.14061e+07ns	+728000ns	RX	0	1
+2.21341e+07ns	+9.40903e+06ns	IDLE	0	1
+3.15432e+07ns	+36000ns	CCA_BUSY	0	1
+3.15792e+07ns	+0ns	CCA_BUSY	0	1
+3.15792e+07ns	+728000ns	RX	0	1
+3.23072e+07ns	+75000ns	IDLE	0	1
+3.23822e+07ns	+36000ns	CCA_BUSY	0	1
+3.24182e+07ns	+0ns	CCA_BUSY	0	1
+3.24182e+07ns	+728000ns	RX	0	1
+3.31462e+07ns	+5.67803e+06ns	IDLE	0	1
+3.88242e+07ns	+36000ns	CCA_BUSY	0	1
+3.88602e+07ns	+0ns	CCA_BUSY	0	1
+3.88602e+07ns	+728000ns	RX	0	1
+3.95882e+07ns	+1.4012e+06ns	IDLE	0	1
+4.09894e+07ns	+36000ns	CCA_BUSY	0	1
+4.10254e+07ns	+0ns	CCA_BUSY	0	1
+4.10254e+07ns	+728000ns	RX	0	1
+4.17534e+07ns	+1.098e+06ns	IDLE	0	1
+4.28514e+07ns	+768000ns	TX	0	1
+4.36194e+07ns	+6.38059e+06ns	IDLE	0	1
+5e+07ns	+250000ns	SWITCHING	0	1
TimeStart 	 Duration 	 state 	 channel 	 cw 
+5.025e+07ns	+4.975e+07ns	IDLE	172	2
+1e+08ns	+250000ns	SWITCHING	172	2
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.0025e+08ns	+4.3267e+07ns	IDLE	178	3
+1.43517e+08ns	+36000ns	CCA_BUSY	178	3
+1.43553e+08ns	+0ns	CCA_BUSY	178	3
+1.43553e+08ns	+728000ns	RX	178	3
+1.44281e+08ns	+2.40213e+06ns	IDLE	178	3
+1.46683e+08ns	+36000ns	CCA_BUSY	178	3
+1.46719e+08ns	+0ns	CCA_BUSY	178	3
+1.46719e+08ns	+728000ns	RX	178	3
+1.47447e+08ns	+100999ns	IDLE	178	3
+1.47548e+08ns	+36000ns	CCA_BUSY	178	3
+1.47584e+08ns	+0ns	CCA_BUSY	178	3
+1.47584e+08ns	+728000ns	RX	178	3
+1.48312e+08ns	+62000ns	IDLE	178	3
+1.48374e+08ns	+36000ns	CCA_BUSY	178	3
+1.4841e+08ns	+0ns	CCA_BUSY	178	3
+1.4841e+08ns	+728000ns	RX	178	3
+1.49138e+08ns	+861852ns	IDLE	178	3
+1.5e+08ns	+250000ns	SWITCHING	178	3
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.5025e+08ns	+4.975e+07ns	IDLE	172	4
+2e+08ns	+250000ns	SWITCHING	172	4
TimeStart 	 Duration 	 state 	 channel 	 cw 
+2.0025e+08ns	+3.808e+06ns	IDLE	178	5
+2.04058e+08ns	+768000ns	TX	178	5
+2.04826e+08ns	+33ns	CCA_BUSY	178	5
+2.04826e+08ns	+4.18961e+07ns	IDLE	178	5
+2.46722e+08ns	+36000ns	CCA_BUSY	178	5
+2.46758e+08ns	+0ns	CCA_BUSY	178	5
+2.46758e+08ns	+728000ns	RX	178	5
+2.47486e+08ns	+2.5139e+06ns	IDLE	178	5
+2.5e+08ns	+250000ns	SWITCHING	178	5
TimeStart 	 Duration 	 state 	 channel 	 cw 
+2.5025e+08ns	+4.975e+07ns	IDLE	172	6
+3e+08ns	+250000ns	SWITCHING	172	6
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.0025e+08ns	+3.808e+06ns	IDLE	178	7
+3.04058e+08ns	+768000ns	TX	178	7
+3.04826e+08ns	+33ns	CCA_BUSY	178	7
+3.04826e+08ns	+1.0527e+07ns	IDLE	178	7
+3.15353e+08ns	+36000ns	CCA_BUSY	178	7
+3.15389e+08ns	+0ns	CCA_BUSY	178	7
+3.15389e+08ns	+728000ns	RX	178	7
+3.16117e+08ns	+3.3883e+07ns	IDLE	178	7
+3.5e+08ns	+250000ns	SWITCHING	178	7
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.5025e+08ns	+4.975e+07ns	IDLE	172	8
+4e+08ns	+250000ns	SWITCHING	172	8
TimeStart 	 Duration 	 state 	 channel 	 cw 
+4.0025e+08ns	+3.81202e+06ns	IDLE	178	9
+4.04062e+08ns	+36000ns	CCA_BUSY	178	9
+4.04098e+08ns	+0ns	CCA_BUSY	178	9
+4.04098e+08ns	+728000ns	RX	178	9
+4.04826e+08ns	+17ns	CCA_BUSY	178	9
+4.04826e+08ns	+3.03907e+06ns	IDLE	178	9
