,nodeId,ls,lc,le,ltx,number of neighbors,QOS,arm,jammed evaluation,label (jammed or not)
0,8,0,6,0,1,6,0.000,False,False,0
1,8,4,2,0,1,6,2.000,False,False,0
2,8,5,0,0,0,6,6.000,True,False,0
3,8,4,1,0,1,6,4.000,True,True,0
4,8,2,2,0,1,6,1.000,True,True,0
5,8,1,3,0,1,6,0.333,True,True,0
6,8,1,5,0,1,6,0.200,True,True,0
7,8,3,3,0,1,6,1.000,True,False,0
8,8,4,0,0,0,6,6.000,True,False,0
9,8,2,2,0,1,6,1.000,False,True,0
10,8,1,3,0,1,6,0.333,False,True,0
11,8,2,4,0,1,6,0.500,True,False,0
12,8,3,2,0,0,6,1.500,True,False,0
13,8,3,2,0,1,6,1.500,True,True,0
14,8,3,3,0,1,6,1.000,True,True,0
15,8,3,2,0,1,6,1.500,True,False,0
16,8,2,2,0,1,6,1.000,False,True,0
17,8,3,1,0,1,6,3.000,False,False,0
18,8,1,4,0,1,6,0.250,True,True,0
19,8,3,3,0,0,6,1.000,True,False,0
20,8,2,3,0,1,6,0.667,True,True,0
21,8,3,2,0,1,6,1.500,False,False,0
22,8,2,2,0,1,6,1.000,False,True,0
23,8,3,3,0,1,6,1.000,True,True,0
24,8,3,2,0,0,6,1.500,False,False,0
25,8,3,2,0,1,6,1.500,False,True,0
26,8,3,2,0,1,6,1.500,False,True,0
27,8,4,2,0,1,6,2.000,False,False,0
28,8,3,1,0,1,6,3.000,False,False,0
29,8,4,2,0,0,6,2.000,True,True,0
30,8,3,1,0,1,6,3.000,False,False,0
31,8,2,2,0,1,6,1.000,False,True,0
32,8,2,4,0,1,6,0.500,True,True,0
33,8,4,1,0,0,6,4.000,False,False,0
34,8,4,2,0,1,6,2.000,False,True,0
35,8,3,1,0,1,6,3.000,False,False,0
36,8,3,2,0,1,6,1.500,False,True,0
37,8,1,3,0,1,6,0.333,False,True,0
38,8,3,3,0,1,6,1.000,False,False,0
39,8,4,1,0,1,6,4.000,False,False,0
40,8,4,0,0,0,6,6.000,False,False,0
41,8,2,3,0,1,6,0.667,False,True,0
42,8,0,4,0,1,6,0.000,False,True,0
43,8,4,2,0,1,6,2.000,True,False,0
44,8,4,0,0,0,6,6.000,False,False,0
45,8,3,2,0,1,6,1.500,False,True,0
46,8,1,3,0,1,6,0.333,False,True,0
47,8,3,2,0,1,6,1.500,False,False,0
48,8,3,3,0,0,6,1.000,True,True,0
49,8,1,3,0,1,6,0.333,False,True,0
50,8,3,3,0,1,6,1.000,True,False,0
51,8,4,2,0,1,6,2.000,True,False,0
52,8,5,0,0,1,6,6.000,False,False,0
53,8,3,0,0,1,6,6.000,False,True,0
54,8,2,4,0,1,6,0.500,True,True,0
55,8,2,3,0,0,6,0.667,False,False,0
56,8,3,2,0,1,6,1.500,False,False,0
57,8,2,2,0,1,6,1.000,False,True,0
58,8,1,3,0,1,6,0.333,False,True,0
59,8,2,4,0,1,6,0.500,True,False,0
60,8,4,2,0,1,6,2.000,False,False,0
61,8,3,0,0,1,6,6.000,False,False,0
62,8,3,3,0,1,6,1.000,True,True,0
63,8,2,1,1,0,6,2.000,False,False,0
64,8,1,4,0,1,6,0.250,False,True,0
65,8,4,2,0,1,6,2.000,False,False,0
66,8,4,0,0,1,6,6.000,False,False,0
67,8,3,1,0,1,6,3.000,False,True,0
68,8,1,4,0,1,6,0.250,False,True,0
69,8,3,2,0,0,6,1.500,False,False,0
70,8,4,2,0,1,6,2.000,False,False,0
71,8,4,0,0,1,6,6.000,False,False,0
72,8,2,2,0,1,6,1.000,False,True,0
73,8,2,3,0,0,6,0.667,False,True,0
74,8,3,3,0,1,6,1.000,True,False,0
75,8,1,3,0,1,6,0.333,False,True,0
76,8,3,2,0,1,6,1.500,False,False,0
77,8,2,3,0,1,6,0.667,False,True,0
78,8,4,1,0,0,6,4.000,False,False,0
79,8,4,2,0,1,6,2.000,True,True,0
80,8,2,2,0,1,6,1.000,False,True,0
81,8,4,1,0,1,6,4.000,False,False,0
82,8,4,2,0,1,6,2.000,True,True,0
83,8,4,1,0,0,6,4.000,False,False,0
84,8,2,2,0,1,6,1.000,False,True,0
85,8,3,2,0,1,6,1.500,False,False,0
86,8,2,2,0,1,6,1.000,False,True,0
87,8,2,3,0,1,6,0.667,False,True,0
88,8,3,2,0,1,6,1.500,False,False,0
89,8,4,2,0,1,6,2.000,True,False,0
90,8,5,1,0,0,6,5.000,False,False,0
91,8,4,0,0,1,6,6.000,False,False,0
92,8,3,2,0,1,6,1.500,False,True,0
93,8,3,1,0,1,6,3.000,False,False,0
94,8,3,2,0,1,6,1.500,False,True,0
95,8,3,3,0,1,6,1.000,True,True,0
96,8,2,2,0,1,6,1.000,False,True,0
97,8,4,2,0,0,6,2.000,True,False,0
98,8,1,2,0,1,6,0.500,False,True,0
99,8,2,3,0,1,6,0.667,True,False,0
100,8,2,4,0,1,6,0.500,True,True,0
101,8,3,2,0,1,6,1.500,False,False,0
102,8,4,0,0,1,6,6.000,False,False,0
103,8,3,2,1,0,6,1.500,True,True,0
104,8,1,2,0,1,6,0.500,False,True,0
105,8,1,5,0,1,6,0.200,True,True,0
106,8,3,3,0,1,6,1.000,True,False,0
107,8,5,0,0,1,6,6.000,False,False,0
108,8,4,0,0,1,6,6.000,False,True,0
109,8,2,2,0,0,6,1.000,False,True,0
110,8,3,2,0,1,6,1.500,False,False,0
111,8,3,3,0,1,6,1.000,True,True,0
112,8,5,1,0,1,6,5.000,False,False,0
113,8,3,0,0,1,6,6.000,False,False,0
114,8,1,3,0,1,6,0.333,False,True,0
115,8,1,4,0,1,6,0.250,False,True,0
116,8,4,1,1,0,6,4.000,False,False,0
117,8,4,1,0,1,6,4.000,False,True,0
118,8,3,1,0,1,6,3.000,False,True,0
119,8,4,1,0,1,6,4.000,False,False,0
120,8,3,1,0,1,6,3.000,False,True,0
121,8,3,2,0,0,6,1.500,False,True,0
122,8,1,4,0,1,6,0.250,False,True,0
123,8,3,2,0,1,6,1.500,False,False,0
124,8,2,4,0,0,6,0.500,True,True,0
125,8,4,1,0,1,6,4.000,False,False,0
126,8,4,1,0,1,6,4.000,False,True,0
127,8,4,1,0,1,6,4.000,False,True,0
128,8,3,1,0,1,6,3.000,False,True,0
129,8,1,3,0,0,6,0.333,False,True,0
130,8,2,3,0,1,6,0.667,False,False,0
131,8,4,2,0,1,6,2.000,False,False,0
132,8,2,2,0,1,6,1.000,False,True,0
133,8,2,2,0,1,6,1.000,False,True,0
134,8,2,4,0,0,6,0.500,True,True,0
135,8,3,3,0,1,6,1.000,True,False,0
136,8,3,1,0,1,6,3.000,False,False,0
137,8,3,2,0,1,6,1.500,False,True,0
138,8,2,2,0,1,6,1.000,False,True,0
139,8,3,3,0,0,6,1.000,False,True,0
140,8,3,2,0,1,6,1.500,False,False,0
141,8,5,1,0,1,6,5.000,False,False,0
142,8,2,1,0,1,6,2.000,False,True,0
143,8,2,4,0,1,6,0.500,True,True,0
144,8,1,3,0,1,6,0.333,False,True,0
145,8,4,2,0,0,6,2.000,False,False,0
146,8,4,2,0,1,6,2.000,False,True,0
147,8,4,0,0,1,6,6.000,False,False,0
148,8,3,1,0,1,6,3.000,False,True,0
149,8,2,3,0,0,6,0.667,False,True,0
150,8,4,2,0,1,6,2.000,False,False,0
151,8,4,0,0,1,6,6.000,False,False,0
152,8,2,1,0,1,6,2.000,False,True,0
153,8,1,5,0,0,6,0.200,True,True,0
154,8,1,4,0,1,6,0.250,False,False,0
155,8,5,1,0,1,6,5.000,False,False,0
156,8,5,0,0,1,6,6.000,False,False,0
157,8,3,1,0,0,6,3.000,False,True,0
158,8,1,3,0,1,6,0.333,False,True,0
159,8,2,3,0,1,6,0.667,False,False,0
160,8,3,2,0,0,6,1.500,False,False,0
161,8,3,2,0,1,6,1.500,False,True,0
162,8,3,2,0,1,6,1.500,False,True,0
163,8,1,3,0,1,6,0.333,False,True,0
164,8,1,4,0,1,6,0.250,False,True,0
165,8,2,4,0,1,6,0.500,True,False,0
166,8,5,1,0,1,6,5.000,False,False,0
167,8,4,0,0,0,6,6.000,False,False,0
168,8,3,2,0,1,6,1.500,False,True,0
169,8,1,3,0,1,6,0.333,False,True,0
170,8,1,4,0,1,6,0.250,False,True,0
171,8,4,2,0,1,6,2.000,False,False,0
172,8,4,2,0,1,6,2.000,False,True,0
173,8,3,1,0,1,6,3.000,False,False,0
174,8,3,2,0,1,6,1.500,False,True,0
175,8,1,3,0,0,6,0.333,False,True,0
176,8,3,3,0,1,6,1.000,True,False,0
177,8,3,2,0,1,6,1.500,False,False,0
178,8,2,3,0,1,6,0.667,False,True,0
179,8,3,1,0,1,6,3.000,False,False,0
180,8,3,3,0,0,6,1.000,True,True,0
181,8,1,3,0,1,6,0.333,False,True,0
182,8,2,3,0,1,6,0.667,False,False,0
183,8,2,3,0,1,6,0.667,False,True,0
184,8,5,1,0,0,6,5.000,False,False,0
185,8,3,1,0,1,6,3.000,False,True,0
186,8,2,3,0,1,6,0.667,False,True,0
187,8,2,3,0,1,6,0.667,False,True,0
188,8,3,2,0,1,6,1.500,False,False,0
189,8,3,3,0,0,6,1.000,True,True,0
190,8,2,3,0,1,6,0.667,False,True,0
191,8,2,2,0,1,6,1.000,False,False,0
192,8,3,3,0,1,6,1.000,True,True,0
193,8,2,2,0,1,6,1.000,False,True,0
194,8,4,1,0,1,6,4.000,False,False,0
195,8,2,3,0,1,6,0.667,False,True,0
196,8,4,1,0,0,6,4.000,False,False,0
197,8,2,2,0,1,6,1.000,False,True,0
198,8,2,3,0,1,6,0.667,False,True,0
199,8,3,2,0,1,6,1.500,False,False,0
200,8,3,2,0,1,6,1.500,False,True,0
201,8,1,4,0,1,6,0.250,False,True,0
202,8,1,4,0,0,6,0.250,False,True,0
203,8,4,2,0,1,6,2.000,False,False,0
204,8,5,1,0,1,6,5.000,False,False,0
205,8,2,0,0,1,6,6.000,False,False,0
206,8,1,4,0,1,6,0.250,False,True,0
207,8,0,5,0,1,6,0.000,True,True,0
208,8,3,3,0,1,6,1.000,True,False,0
209,8,4,2,0,0,6,2.000,False,False,0
210,8,5,1,0,1,6,5.000,False,False,0
211,8,2,1,0,1,6,2.000,False,True,0
212,8,2,3,0,1,6,0.667,False,True,0
213,8,2,3,0,1,6,0.667,False,True,0
214,8,3,2,0,0,6,1.500,False,False,0
215,8,3,2,0,1,6,1.500,False,True,0
216,8,2,2,0,1,6,1.000,False,True,0
217,8,1,4,0,1,6,0.250,False,True,0
218,8,2,3,0,1,6,0.667,False,False,0
219,8,3,3,0,1,6,1.000,True,False,0
220,8,3,1,0,1,6,3.000,False,False,0
221,8,5,1,0,0,6,5.000,False,False,0
222,8,5,1,0,1,6,5.000,False,True,0
223,8,1,1,0,1,6,1.000,False,True,0
224,8,1,5,0,1,6,0.200,True,True,0
225,8,2,3,0,1,6,0.667,False,False,0
226,8,4,2,0,1,6,2.000,False,False,0
227,8,5,0,0,1,6,6.000,False,False,0
228,8,3,0,0,0,6,6.000,False,True,0
229,8,0,4,0,1,6,0.000,False,True,0
230,8,1,5,0,1,6,0.200,True,False,0
231,8,3,3,0,1,6,1.000,True,False,0
232,8,5,0,0,0,6,6.000,False,False,0
233,8,2,2,0,1,6,1.000,False,True,0
234,8,2,3,0,1,6,0.667,False,True,0
235,8,1,3,0,1,6,0.333,False,True,0
236,8,2,4,0,1,6,0.500,True,False,0
237,8,4,1,1,1,6,4.000,False,False,0
238,8,3,1,1,0,6,3.000,False,True,0
239,8,2,2,0,1,6,1.000,False,True,0
240,8,1,4,0,1,6,0.250,False,True,0
241,8,1,4,0,1,6,0.250,False,True,0
242,8,5,1,0,1,6,5.000,False,False,0
243,8,5,0,0,0,6,6.000,False,False,0
244,8,4,1,0,1,6,4.000,False,True,0
245,8,1,2,0,1,6,0.500,False,True,0
246,8,2,4,0,1,6,0.500,True,True,0
247,8,3,2,0,1,6,1.500,False,False,1
248,8,4,2,0,1,6,2.000,False,False,1
